date,cash_value,stock_value,total_value,deposit_withdrawal,simple_returns,cum_return,equity_index
2020-07-04,-4251.338,-7956.537365507711,-12207.87536550771,0.0,0.0,-0.5882257893190159,
2020-07-05,-4251.338,-7956.537365507711,-12207.87536550771,0.0,0.0,-0.5882257893190159,
2020-07-06,-4236.338,-7935.695909863793,-12172.033909863792,15.0,0.0,-0.5882257893190159,
2020-07-07,-4236.338,-7941.9766245918145,-12178.314624591814,0.0,0.0,-0.5882257893190159,
2020-07-08,-4332.648,-7953.624347976444,-12286.272347976445,0.0,0.0,-0.5882257893190159,
2020-07-09,-4332.648,-7944.833161304081,-12277.48116130408,0.0,0.0,-0.5882257893190159,
2020-07-10,-4332.648,-7939.556121821942,-12272.204121821942,0.0,0.0,-0.5882257893190159,
2020-07-11,-4332.648,-7939.556121821942,-12272.204121821942,0.0,0.0,-0.5882257893190159,
2020-07-12,-4332.648,-7939.556121821942,-12272.204121821942,0.0,0.0,-0.5882257893190159,
2020-07-13,-4317.648,-7934.041406577717,-12251.689406577716,15.0,0.0,-0.5882257893190159,
2020-07-14,-4317.648,-7943.631023531486,-12261.279023531486,0.0,0.0,-0.5882257893190159,
2020-07-15,-4317.648,-7943.251365157763,-12260.899365157762,0.0,0.0,-0.5882257893190159,
2020-07-16,-4317.648,-7947.1052884757155,-12264.753288475717,0.0,0.0,-0.5882257893190159,
2020-07-17,-4317.648,-7935.781421541734,-12253.429421541734,0.0,0.0,-0.5882257893190159,
2020-07-18,-4317.648,-7935.781421541734,-12253.429421541734,0.0,0.0,-0.5882257893190159,
2020-07-19,-4317.648,-7935.781421541734,-12253.429421541734,0.0,0.0,-0.5882257893190159,
2020-07-20,-4302.648,-7942.7293875650485,-12245.377387565048,15.0,0.0,-0.5882257893190159,
2020-07-21,-4302.648,-7944.108038127078,-12246.756038127078,0.0,0.0,-0.5882257893190159,
2020-07-22,-4302.648,-7936.373994534252,-12239.021994534252,0.0,0.0,-0.5882257893190159,
2020-07-23,-4302.648,-7968.788106838252,-12271.436106838253,0.0,0.0,-0.5882257893190159,
2020-07-24,-4302.648,-8138.6357304157855,-12441.283730415786,0.0,0.0,-0.5882257893190159,
2020-07-25,-4302.648,-8138.6357304157855,-12441.283730415786,0.0,0.0,-0.5882257893190159,
2020-07-26,-4302.648,-8138.6357304157855,-12441.283730415786,0.0,0.0,-0.5882257893190159,
2020-07-27,-4287.648,-8119.943324604132,-12407.591324604131,15.0,0.0,-0.5882257893190159,
2020-07-28,-4287.648,-8117.439709007496,-12405.087709007497,0.0,0.0,-0.5882257893190159,
2020-07-29,-4287.648,-8280.483983136315,-12568.131983136314,0.0,0.0,-0.5882257893190159,
2020-07-30,-4338.358,-8185.001373171062,-12523.359373171063,354.69,0.0,-0.5882257893190159,
2020-07-31,-4338.358,-8170.262507301492,-12508.620507301493,0.0,0.0,-0.5882257893190159,
2020-08-01,-4338.358,-8170.262507301492,-12508.620507301493,0.0,0.0,-0.5882257893190159,
2020-08-02,-4338.358,-8170.262507301492,-12508.620507301493,0.0,0.0,-0.5882257893190159,
2020-08-03,-4323.358,-8002.9456736164975,-12326.303673616498,15.0,0.0,-0.5882257893190159,
2020-08-04,-4323.358,-8288.474396795229,-12611.83239679523,0.0,0.0,-0.5882257893190159,
2020-08-05,-4323.358,-8289.64224739386,-12613.00024739386,0.0,0.0,-0.5882257893190159,
2020-08-06,-4303.358,-8000.651729863153,-12304.009729863154,20.0,0.0,-0.5882257893190159,
2020-08-07,-4323.358,-7966.45255608087,-12289.810556080869,0.0,0.0,-0.5882257893190159,
2020-08-08,-4323.358,-7966.45255608087,-12289.810556080869,0.0,0.0,-0.5882257893190159,
2020-08-09,-4323.358,-7966.45255608087,-12289.810556080869,0.0,0.0,-0.5882257893190159,
2020-08-10,-4340.5380000000005,-8118.211876335785,-12458.749876335785,30.0,0.0,-0.5882257893190159,
2020-08-11,-4285.468000000001,-8129.69828110285,-12415.166281102851,1531.07,0.0,-0.5882257893190159,
2020-08-12,-4205.468000000001,-8184.6856084097835,-12390.153608409784,0.0,0.0,-0.5882257893190159,
2020-08-13,-4262.468000000001,-8041.215858898135,-12303.683858898135,0.0,0.0,-0.5882257893190159,
2020-08-14,-4262.468000000001,-8110.950355605331,-12373.418355605332,0.0,0.0,-0.5882257893190159,
2020-08-15,-4262.468000000001,-8110.950355605331,-12373.418355605332,0.0,0.0,-0.5882257893190159,
2020-08-16,-4262.468000000001,-8110.950355605331,-12373.418355605332,0.0,0.0,-0.5882257893190159,
2020-08-17,-4199.468000000001,-8172.309361269962,-12371.777361269964,30.0,0.0,-0.5882257893190159,
2020-08-18,-4199.468000000001,-8077.441961781214,-12276.909961781213,0.0,0.0,-0.5882257893190159,
2020-08-19,-2319.4680000000008,-8209.550004589662,-10529.018004589663,0.0,0.0,-0.5882257893190159,
2020-08-20,-2319.4680000000008,-8191.214942537148,-10510.682942537149,0.0,0.0,-0.5882257893190159,
2020-08-21,-2299.4680000000008,-8054.015121957204,-10353.483121957204,20.0,0.0,-0.5882257893190159,
2020-08-22,-2299.4680000000008,-8054.015121957204,-10353.483121957204,0.0,0.0,-0.5882257893190159,
2020-08-23,-2299.4680000000008,-8054.015121957204,-10353.483121957204,0.0,0.0,-0.5882257893190159,
2020-08-24,-2269.4680000000008,-8043.650338491123,-10313.118338491124,30.0,0.0,-0.5882257893190159,
2020-08-25,-1929.6280000000006,-8096.6556201778885,-10026.283620177888,0.0,0.0,-0.5882257893190159,
2020-08-26,-2434.5780000000004,-7980.2317581100015,-10414.809758110001,0.0,0.0,-0.5882257893190159,
2020-08-27,-2434.5780000000004,-7996.372679633148,-10430.950679633148,0.0,0.0,-0.5882257893190159,
2020-08-28,-2434.5780000000004,-8054.859871871199,-10489.4378718712,0.0,0.0,-0.5882257893190159,
2020-08-29,-2434.5780000000004,-8054.859871871199,-10489.4378718712,0.0,0.0,-0.5882257893190159,
2020-08-30,-2434.5780000000004,-8054.859871871199,-10489.4378718712,0.0,0.0,-0.5882257893190159,
2020-08-31,-2900.5760000000005,-7510.06544646909,-10410.64144646909,30.0,0.0,-0.5882257893190159,
2020-09-01,-2107.2060000000006,-7947.369118105322,-10054.575118105322,0.0,0.0,-0.5882257893190159,
2020-09-02,-2426.634000000001,-8297.101292304986,-10723.735292304988,0.0,0.0,-0.5882257893190159,
2020-09-03,-1486.634000000001,-8689.575707358339,-10176.209707358339,0.0,0.0,-0.5882257893190159,
2020-09-04,-2939.634000000001,-7991.955085885142,-10931.589085885142,0.0,0.0,-0.5882257893190159,
2020-09-05,-2939.634000000001,-7991.955085885142,-10931.589085885142,0.0,0.0,-0.5882257893190159,
2020-09-06,-2939.634000000001,-7991.955085885142,-10931.589085885142,0.0,0.0,-0.5882257893190159,
2020-09-07,-2909.634000000001,-7991.955085885142,-10901.589085885142,30.0,0.0,-0.5882257893190159,
2020-09-08,-2214.634000000001,-8682.32614571487,-10896.960145714871,0.0,0.0,-0.5882257893190159,
2020-09-09,-3370.694000000001,-8141.505561953911,-11512.199561953912,0.0,0.0,-0.5882257893190159,
2020-09-10,-975.6940000000009,-8527.511826439371,-9503.205826439373,0.0,0.0,-0.5882257893190159,
2020-09-11,-975.6940000000009,-8534.715431459133,-9510.409431459135,0.0,0.0,-0.5882257893190159,
2020-09-12,-975.6940000000009,-8534.715431459133,-9510.409431459135,0.0,0.0,-0.5882257893190159,
2020-09-13,-975.6940000000009,-8534.715431459133,-9510.409431459135,0.0,0.0,-0.5882257893190159,
2020-09-14,-1060.4740000000008,-8395.911892001053,-9456.385892001053,30.0,0.0,-0.5882257893190159,
2020-09-15,-2360.474000000001,-8079.256802336034,-10439.730802336035,0.0,0.0,-0.5882257893190159,
2020-09-16,-2872.474000000001,-8088.513290903115,-10960.987290903116,0.0,0.0,-0.5882257893190159,
2020-09-17,-2872.474000000001,-8125.804153733049,-10998.27815373305,0.0,0.0,-0.5882257893190159,
